Name	IP Address
LIB-008Z-01	128.175.83.54
LIB-008Z-03	128.175.83.56
LIB-104Z-01	128.175.86.67
LIB-111Z-L01	128.4.91.161
LIB-111Z-L02	128.4.112.45
LIB-111Z-L03	128.4.82.60
LIB-112A-02	128.175.82.168
LIB-112A-03	128.175.86.99
LIB-113A-08	128.175.82.109
LIB-114Z-00	128.175.87.222
LIB-114Z-01	128.4.85.168
LIB-114Z-02	128.4.82.66
LIB-114Z-03	128.4.96.115
LIB-114Z-04	128.4.110.18
LIB-114Z-05	128.4.69.107
LIB-116A-00	128.175.87.25
LIB-116A-01	128.4.104.214
LIB-116A-02	128.4.88.59
LIB-116A-03	128.4.118.58
LIB-116A-04	128.4.106.200
LIB-116A-05	128.4.73.135
LIB-116B-01	128.175.86.69
LIB-116C-01	128.175.86.58
LIB-200B-01	128.175.82.146
LIB-210I-03	128.175.82.77
LIB-210S-01	128.175.82.106
LIB-215A-01	128.175.86.61
LIB-215B-01	128.175.86.59
LIB-223B-01	128.175.86.89
LIB-223B-02	128.175.87.218
LIB-CIRC-01	128.175.86.73
LIB-CIRC-02	128.175.100.40
LIB-CIRC-03	128.175.86.71
LIB-CIRC-04	128.175.82.113
LIB-CIRC-05	128.175.86.77
LIB-DISP-01	128.175.82.100
LIB-ERCL-03	128.175.34.171
LIB-FLR2-01	128.175.87.215
LIB-FLR3-01	128.175.87.219
LIB-INFO-01	128.175.87.101
LIB-INFO-02	128.175.87.102
LIB-INFO-03	128.175.87.103
LIB-INFO-04	128.175.87.104
LIB-INFO-05	128.175.87.105
LIB-INFO-06	128.175.87.106
LIB-INFO-07	128.175.87.107
LIB-INFO-08	128.175.87.108
LIB-INFO-09	128.175.87.109
LIB-INFO-10	128.175.87.110
LIB-INFO-11	128.175.87.111
LIB-INFO-12	128.175.87.112
LIB-INFO-13	128.175.87.113
LIB-INFO-14	128.175.87.114
LIB-INFO-15	128.175.87.115
LIB-INFO-16	128.175.87.116
LIB-INFO-17	128.175.87.117
LIB-INFO-18	128.175.87.118
LIB-INFO-19	128.175.87.119
LIB-INFO-20	128.175.87.120
LIB-INFO-21	128.175.87.121
LIB-INFO-22	128.175.87.122
LIB-INFO-23	128.175.87.123
LIB-INFO-24	128.175.87.124
LIB-INFO-25	128.175.87.125
LIB-INFO-26	128.175.87.126
LIB-INFO-27	128.175.87.127
LIB-INFO-28	128.175.87.128
LIB-INFO-29	128.175.87.129
LIB-INFO-30	128.175.87.130
LIB-LOAN-13	128.4.108.106
LIB-LOAN-14	128.4.66.5
LIB-LOAN-15	128.4.95.149
LIB-LOAN-16	128.4.103.114
LIB-LOAN-17	128.4.119.111
LIB-LOAN-18	128.4.96.166
LIB-LOAN-19	128.4.113.203
LIB-LOAN-20	128.4.99.94
LIB-LOAN-21	128.4.78.196
LIB-LOAN-22	128.4.119.189
LIB-LOAN-23	128.4.115.237
LIB-PREL-I1	128.175.87.150
LIB-PREL-R2	128.175.83.22
LIB-REFR-01	128.175.87.31
LIB-REFR-02	128.175.87.32
LIB-REFR-03	128.175.87.33
LIB-REFR-04	128.175.87.34
LIB-REFR-05	128.175.87.35
LIB-REFR-06	128.175.87.36
LIB-REFR-07	128.175.87.37
LIB-REFR-08	128.175.87.38
LIB-REFR-09	128.175.87.39
LIB-REFR-10	128.175.87.40
LIB-REFR-11	128.175.87.41
LIB-REFR-12	128.175.87.42
LIB-SCAN-01	128.175.83.50
LIB-SCAN-02	128.175.83.51
